Id,Label,node type,gender,type
Werkzeug,Werkzeug,Rolle,genderneutral,
Kind,Kind,Rolle,genderneutral,Rolle
Genius,Genius,Rolle,genderneutral,
Fremdling,Fremdling,Rolle,genderneutral,
Gestalt,Gestalt,Rolle,genderneutral,Rolle
Person,Person,Rolle,genderneutral,Rolle
Flüchtling,Flüchtling,Rolle,genderneutral,
Mensch,Mensch,Rolle,genderneutral,Rolle
Hirschkalb,Hirschkalb,Rolle,genderneutral,
Geschöpf,Geschöpf,Rolle,genderneutral,Rolle
Ungeheuer,Ungeheuer,Rolle,genderneutral,Figur
Schwan,Schwan,Rolle,genderneutral,
Wesen,Wesen,Rolle,genderneutral,Rolle
Waise,Waise,Rolle,weiblich,Rolle
Pater,Pater,Rolle,männlich,
Greis,Greis,Rolle,männlich,Rolle
Patriarch,Patriarch,Rolle,männlich,
Liebling,Liebling,Rolle,genderneutral,Rolle
Wilder,Wilder,Rolle,männlich,Rolle
Gast,Gast,Rolle,genderneutral,Rolle
männlich,männlich,Rolle,männlich,Rolle
Franzose,Franzose,Rolle,männlich,Rolle
Anführer,Anführer,Rolle,genderneutral,Rolle
Blinder,Blinder,Rolle,männlich,
Sohn,Sohn,Rolle,männlich,Rolle
Vater,Vater,Rolle,männlich,Rolle
Krieger,Krieger,Rolle,männlich,Rolle
Beschützer,Beschützer,Rolle,männlich,
Castilianer,Castilianer,Rolle,männlich,
Spanier,Spanier,Rolle,männlich,
Wohltäter,Wohltäter,Rolle,männlich,Rolle
Natsche,Natsche,Rolle,männlich,
Gefangener,Gefangener,Rolle,männlich,Rolle
Bundgenosse,Bundgenosse,Rolle,männlich,
Götzendiener,Götzendiener,Rolle,männlich,
Unglücklicher,Unglücklicher,Rolle,männlich,Rolle
Freund,Freund,Rolle,männlich,Rolle
Sklave,Sklave,Rolle,männlich,Rolle
Jüngling,Jüngling,Rolle,männlich,Rolle
Liebender,Liebender,Rolle,männlich,
Europäer,Europäer,Rolle,männlich,Rolle
König,König,Rolle,männlich,Figur
Gatte,Gatte,Rolle,männlich,Rolle
Lopez,Lopez,Rolle,männlich,
Gastfreund,Gastfreund,Rolle,männlich,
Gefährte,Gefährte,Rolle,männlich,Rolle
Einsiedler,Einsiedler,Rolle,männlich,Figur
Geistlicher,Geistlicher,Rolle,männlich,Rolle
Diener,Diener,Rolle,männlich,Rolle
