Id,Label,node type,gender,reference
junger Mann,junger Mann,Rolle,männlich,
Architekt,Architekt,Rolle,männlich,
Mieter,Mieter,Rolle,männlich,
Vermieter,Vermieter,Rolle,männlich,
Herr,Herr,Rolle,männlich,
Betreffender,Betreffender,Rolle,männlich,
Freund,Freund,Rolle,männlich,
Frau,Frau,Rolle,weiblich,
Kammerdiener,Kammerdiener,Rolle,männlich,
Witwe,Witwe,Rolle,weiblich,
Conciergeleute,Conciergeleute,Rolle,genderneutral,
Figur,Figur,Rolle,genderneutral,
Neapolitanerin,Neapolitanerin,Rolle,weiblich,
Lieber,Lieber,Rolle,männlich,
feine Leute,feine Leute,Rolle,genderneutral,
Sohn,Sohn,Rolle,männlich,
Gattin,Gattin,Rolle,weiblich,
Notar,Notar,Rolle,männlich,
Schwiegersohn,Schwiegersohn,Rolle,männlich,
Appellationsgerichtsrat,Appellationsgerichtsrat,Rolle,männlich,
Bursche,Bursche,Rolle,männlich,
Familie,Familie,Rolle,genderneutral,
Nachbarn,Nachbarn,Rolle,genderneutral,
Vater,Vater,Rolle,männlich,
Kassirer,Kassirer,Rolle,männlich,
Angestelltenehepaar,Angestelltenehepaar,Rolle,genderneutral,
Leute,Leute,Rolle,genderneutral,
Bester,Bester,Rolle,männlich,
Künstler,Künstler,Rolle,männlich,
Ding,Ding,Rolle,genderneutral,
Tochter,Tochter,Rolle,weiblich,
Zofe,Zofe,Rolle,weiblich,
Alte,Alte,Rolle,weiblich,
Köchin,Köchin,Rolle,weiblich,
Hausherr,Hausherr,Rolle,männlich,
Lisa,Lisa,Rolle,weiblich,
Schmutzliese,Schmutzliese,Rolle,weiblich,
Diözesanarchitekt,Diözesanarchitekt,Rolle,männlich,
Regierungsbaumeister,Regierungsbaumeister,Rolle,männlich,
Künstlerkopf,Künstlerkopf,Rolle,genderneutral,
Spießbürger,Spießbürger,Rolle,männlich,
Bengel,Bengel,Rolle,männlich,
Inspektor,Inspektor,Rolle,männlich,
Backfisch,Backfisch,Rolle,weiblich,
Nonne,Nonne,Rolle,weiblich,
Naschkatze,Naschkatze,Rolle,weiblich,
