Id,Label,node type,gender
Mrs. Constable,Mrs. Constable,Figur,
Louis,Louis,Figur,
Jinny,Jinny,Figur,
Susan,Susan,Figur,
Bernard,Bernard,Figur,
Rhoda,Rhoda,Figur,
Der Gärtner,Der Gärtner,Figur,
Miss Hudson,Miss Hudson,Figur,
Lehrer,Lehrer,Figur,
Neville,Neville,Figur,
der tote Mann,der tote Mann,Figur,
Ernest,Ernest,Figur,
Florrie,Florrie,Figur,
Rhodas Tante,Rhodas Tante,Figur,
George,George,Figur,
Stiftervater,Stiftervater,Figur,
Direktor Crane,Direktor Crane,Figur,
eine Frau,eine Frau,Figur,
Miss Lambert,Miss Lambert,Figur,
Percival,Percival,Figur,
andere Lehrende,andere Lehrende,Figur,
ein Mann,ein Mann,Figur,
Dalton,Dalton,Figur,
Baker,Baker,Figur,
Larpent,Larpent,Figur,
Miss Perry,Miss Perry,Figur,
Madame Carlo,Madame Carlo,Figur,
andere Jungen,andere Jungen,Figur,
kleine Jungen,kleine Jungen,Figur,
Mrs. Crane,Mrs. Crane,Figur,
Susans Vater,Susans Vater,Figur,
ein Junge,ein Junge,Figur,
Junge,Junge,Rolle,männlich
Schwimmerin,Schwimmerin,Rolle,weiblich
Mutter,Mutter,Rolle,weiblich
Kind,Kind,Rolle,genderneutral
Schwimmer,Schwimmer,Rolle,genderneutral
Stalljunge,Stalljunge,Rolle,männlich
Entdecker,Entdecker,Rolle,genderneutral
Marder,Marder,Rolle,genderneutral
Häher,Häher,Rolle,genderneutral
Fuchs,Fuchs,Rolle,genderneutral
Bankier,Bankier,Rolle,männlich
Engländer,Engländer,Rolle,männlich
Geistlicher,Geistlicher,Rolle,männlich
Gentleman,Gentleman,Rolle,männlich
Riesen,Riesen,Rolle,genderneutral
Stier,Stier,Rolle,männlich
Pferd,Pferd,Rolle,genderneutral
Tante,Tante,Rolle,weiblich
Vater,Vater,Rolle,männlich
Gebieter,Gebieter,Rolle,männlich
Stifter,Stifter,Rolle,männlich
Direktor,Direktor,Rolle,männlich
Doktor,Doktor,Rolle,männlich
Kirchenvorsteher,Kirchenvorsteher,Rolle,männlich
Matrose,Matrose,Rolle,männlich
Heerführer,Heerführer,Rolle,männlich
Bruder,Bruder,Rolle,männlich
Freiwilliger,Freiwilliger,Rolle,männlich
Kricketspieler,Kricketspieler,Rolle,männlich
Vorsitzender,Vorsitzender,Rolle,männlich
Herzogin,Herzogin,Rolle,weiblich
Schulmeister,Schulmeister,Rolle,männlich
Admiral,Admiral,Rolle,männlich
Richter,Richter,Rolle,männlich
Freund,Freund,Rolle,männlich
Herzog,Herzog,Rolle,männlich
Schüler,Schüler,Rolle,männlich
Gefährte,Gefährte,Rolle,männlich
Sproß,Sproß,Rolle,genderneutral
Kaiserin,Kaiserin,Rolle,weiblich
Mann,Mann,Rolle,männlich
Frau des Generals,Frau des Generals,Rolle,weiblich
Geist,Geist,Rolle,genderneutral
Passant,Passant,Rolle,männlich
Mutter von Susan,Mutter von Susan,Figur,
Elvedon,Elvedon,Figur,
Vater von Louis,Vater von Louis,Figur,
Vater von Susan,Vater von Susan,Figur,
Bernards Vater,Bernards Vater,Figur,
Vater von Neville,Vater von Neville,Figur,
Tante von Rhoda,Tante von Rhoda,Figur,
Muttter von Bernard,Mutter von Bernard,Figur,
Vazer von Bernard,Vater von Bernard,Figur,
Stiefvater,Stiefvater,Figur,
Crane,Crane,Figur,
Smith,Smith,Figur,
Archie,Archie,Figur,
Hugh,Hugh,Figur,
Parker,Parker,Figur,
Mrs Crane,Mrs Crane,Figur,
Lady Hampton,Lady Hampton,Figur,
