Id,Label,node type,gender
Werkzeug,Werkzeug,Rolle,genderneutral
Kind,Kind,Rolle,genderneutral
Genius,Genius,Rolle,genderneutral
Fremdling,Fremdling,Rolle,genderneutral
Gestalt,Gestalt,Rolle,genderneutral
Person,Person,Rolle,genderneutral
Flüchtling,Flüchtling,Rolle,genderneutral
Mensch,Mensch,Rolle,genderneutral
Hirschkalb,Hirschkalb,Rolle,genderneutral
Geschöpf,Geschöpf,Rolle,genderneutral
Ungeheuer,Ungeheuer,Rolle,genderneutral
Schwan,Schwan,Rolle,genderneutral
Wesen,Wesen,Rolle,genderneutral
Waise,Waise,Rolle,genderneutral
Pater,Pater,Rolle,männlich
Greis,Greis,Rolle,männlich
Patriarch,Patriarch,Rolle,männlich
Liebling,Liebling,Rolle,männlich
Wilder,Wilder,Rolle,männlich
Gast,Gast,Rolle,männlich
Mann,Mann,Rolle,männlich
Franzose,Franzose,Rolle,männlich
Anführer,Anführer,Rolle,männlich
Blinder,Blinder,Rolle,männlich
Sohn,Sohn,Rolle,männlich
Vater,Vater,Rolle,männlich
Krieger,Krieger,Rolle,männlich
Beschützer,Beschützer,Rolle,männlich
Castilianer,Castilianer,Rolle,männlich
Spanier,Spanier,Rolle,männlich
Wohltäter,Wohltäter,Rolle,männlich
Natsche,Natsche,Rolle,männlich
Gefangener,Gefangener,Rolle,männlich
Bundgenosse,Bundgenosse,Rolle,männlich
Götzendiener,Götzendiener,Rolle,männlich
Unglücklicher,Unglücklicher,Rolle,männlich
Freund,Freund,Rolle,männlich
Sklave,Sklave,Rolle,männlich
Jüngling,Jüngling,Rolle,männlich
Liebender,Liebender,Rolle,männlich
Europäer,Europäer,Rolle,männlich
König,König,Rolle,männlich
Gatte,Gatte,Rolle,männlich
Lopez,Lopez,Rolle,männlich
Gastfreund,Gastfreund,Rolle,männlich
Gefährte,Gefährte,Rolle,männlich
Einsiedler,Einsiedler,Rolle,männlich
Geistlicher,Geistlicher,Rolle,männlich
Diener,Diener,Rolle,männlich
Eremit,Eremit,Rolle,männlich
Missionsgeistlicher,Missionsgeistlicher,Rolle,männlich
Wirt,Wirt,Rolle,männlich
Bruder,Bruder,Rolle,männlich
Priester,Priester,Rolle,männlich
Missionar,Missionar,Rolle,männlich
Sterblicher,Sterblicher,Rolle,männlich
Kriegsgefangener,Kriegsgefangener,Rolle,männlich
Missionsprediger,Missionsprediger,Rolle,männlich
Gotteslästerer,Gotteslästerer,Rolle,männlich
Mädchen,Mädchen,Rolle,weiblich
Führerin,Führerin,Rolle,weiblich
Frau,Frau,Rolle,weiblich
Weib,Weib,Rolle,weiblich
Jungfrau,Jungfrau,Rolle,weiblich
Indianerin,Indianerin,Rolle,weiblich
Christin,Christin,Rolle,weiblich
Tochter,Tochter,Rolle,weiblich
Geliebte,Geliebte,Rolle,weiblich
Liebende,Liebende,Rolle,weiblich
Hindin,Hindin,Rolle,weiblich
Wilde,Wilde,Rolle,weiblich
Königin,Königin,Rolle,weiblich
Befreierin,Befreierin,Rolle,weiblich
Spanierin,Spanierin,Rolle,weiblich
Schwester,Schwester,Rolle,weiblich
Gattin,Gattin,Rolle,weiblich
Sklavin,Sklavin,Rolle,weiblich
Mutter,Mutter,Rolle,weiblich
Atala,Atala,Figur,
Atalas Mutter,Atalas Mutter,Figur,
Brüder,Brüder,Figur,
Celuta,Celuta,Figur,
Dichter,Dichter,Figur,
Endaé,Endaé,Figur,
Endaés Trauter,Endaés Trauter,Figur,
Frauen,Frauen,Figur,
Gattinnen,Gattinnen,Figur,
Greise,Greise,Figur,
Heiden,Heiden,Figur,
Helden,Helden,Figur,
Homeros,Homeros,Figur,
Jäger,Jäger,Figur,
Jesus,Jesus,Figur,
Jungfrauen,Jungfrauen,Figur,
Kinder,Kinder,Figur,
Kinder des Urwalds,Kinder des Urwalds,Figur,
Kriegsoberste,Kriegsoberste,Figur,
Lopez Schwester,Lopez Schwester,Figur,
Mägdlein,Mägdlein,Figur,
Mila,Mila,Figur,
Nachwuchs,Nachwuchs,Figur,
Oberhaupt,Oberhaupt,Figur,
Pater Aubry,Pater Aubry,Figur,
Philipp,Philipp,Figur,
René,René,Figur,
Saschems,Saschems,Figur,
Schakta,Schakta,Figur,
Vater Adler,Vater Adler,Figur,
Volk,Volk,Figur,
Weiber,Weiber,Figur,
Zauberer,Zauberer,Figur,
das junge Mädchen,Das junge Mädchen,,
Marquette,Marquette,,
Fernelon,Fernelon,,
2,Simaghan,Figur,
Siminole,Siminole,,
1,Outalissi,,
