Id,Label,node type,gender
Adelaida Iwanowna Karamasow,Adelaida Iwanowna Karamasow,Figur,
Alexej,Alexej,Figur,
Aljoscha,Aljoscha,Figur,
Besucher,Besucher,Rolle,männlich
Dame,Dame,Figur,
Dmitri,Dmitri,Figur,
Dmitri Fjodorowitschs Großmutter,Dmitri Fjodorowitschs Großmutter,Figur,
Dulder,Dulder,Figur,
ein Jude,ein Jude,Figur,
ein Mönch,ein Mönch,Figur,
einer von zwei Mönchen,einer von zwei Mönchen,Figur,
Einsiedler,Einsiedler,Figur,
Fachleute,Fachleute,Figur,
Familie,Familie,Figur,
Fjordor Pawlowitsch Karamasow,Fjordor Pawlowitsch Karamasow,Figur,
Frau,Frau,Rolle,weiblich
Frau Chochlakowa,Frau Chochlakowa,Figur,
Frau Chochlakowas Tochter,Frau Chochlakowas Tochter,Figur,
Frau Muissow,Frau Muissow,Figur,
Frauen,Frauen,Figur,
Freund Jefim Petrowitschs,Freund Jefim Petrowitschs,Figur,
General,General,Figur,
General Worochow,General Worochow,Figur,
General Worochows Frau,General Worochows Frau,Figur,
Grigori,Grigori,Figur,
Gutsbesitzer,Gutsbesitzer,Rolle,männlich
Herr Naprawnik,Herr Naprawnik,Figur,
Isprawnik,Isprawnik,Figur,
Iwan,Iwan,Figur,
Jefim Petrowitsch,Jefim Petrowitsch,Figur,
Jefim Petrowitschs Frau,Jefim Petrowitschs Frau,Figur,
Jugendliche,Jugendliche,Figur,
Kinder,Kinder,Figur,
Kinderfrau,Kinderfrau,Figur,
Köpfe,Köpfe,Figur,
Leute,Leute,Figur,
Liebhaber,Liebhaber,Rolle,männlich
Maximow,Maximow,Figur,
Menschen,Menschen,Figur,
Miussow,Miussow,Figur,
Mönch,Mönch,Rolle,männlich
Moskauer Dame,Moskauer Dame,Figur,
Narren,Narren,Figur,
Oberster Patriarch,Oberster Patriarch,Figur,
Pädagoge,Pädagoge,Figur,
Paissi Welitschkowskia,Paissi Welitschkowskia,Figur,
Persöhnlichkeiten,Persöhnlichkeiten,Figur,
Piotr Alexandrowitsch Miussow,Piotr Alexandrowitsch Miussow,Figur,
Piotr Fomitsch Kalganow,Piotr Fomitsch Kalganow,Figur,
Pjotr Alexandrowitsch Miussow,Pjotr Alexandrowitsch Miussow,Figur,
Pjotr Fomitsch Kalganow,Pjotr Fomitsch Kalganow,Figur,
Publikum,Publikum,Figur,
Rakitin,Rakitin,Figur,
Russe,Russe,Figur,
Schwindler,Schwindler,Figur,
Seminarist,Seminarist,Figur,
Sofja Iwanowna,Sofja Iwanowna,Figur,
Sossima,Sossima,Figur,
Starez,Starez,Rolle,männlich
Sünder,Sünder,Rolle,männlich
Tochter,Tochter,Rolle,weiblich
Tochter der Moskauer Dame,Tochter der Moskauer Dame,Figur,
Tochter von Frau Chochlakowa,Tochter von Frau Chochlakowa,Figur,
Vater Paissi,Vater Paissi,Figur,
Vater von Sofja,Vater von Sofja,Figur,
Verwandte,Verwandte,Figur,
Verwandtschaft,Verwandtschaft,Figur,
Volk,Volk,Figur,
Warsonofi,Warsonofi,Figur,
Weiber,Weiber,Figur,
Wesen,Wesen,Rolle,genderneutral
Adelsmarschall,Adelsmarschall,Rolle,männlich
Aljoschka,Aljoschka,Rolle,männlich
Alte,Alte,Rolle,weiblich
alte Dame,alte Dame,Rolle,weiblich
alte Frau,alte Frau,Rolle,weiblich
Alter,Alter,Rolle,männlich
Anhänger,Anhänger,Rolle,männlich
Ankömmling,Ankömmling,Rolle,männlich
Ärmste,Ärmste,Rolle,weiblich
Atheist,Atheist,Rolle,männlich
Befreierin,Befreierin,Rolle,weiblich
Bester,Bester,Rolle,männlich
Bewahrer,Bewahrer,Rolle,männlich
Bezirkshauptmann,Bezirkshauptmann,Rolle,männlich
Bibliothekar,Bibliothekar,Rolle,männlich
Braut,Braut,Rolle,weiblich
Bruder,Bruder,Rolle,männlich
